Date,City,Value
2010-06-01,Monaragala,93
2010-07-01,Monaragala,314
2010-08-01,Monaragala,219
2010-09-01,Monaragala,65
2010-10-01,Monaragala,50
2010-11-01,Monaragala,42
2010-12-01,Monaragala,24
2010-01-01,Rathnapura,93
2010-02-01,Rathnapura,141
2010-03-01,Rathnapura,234
2010-04-01,Rathnapura,270
2010-05-01,Rathnapura,274
2010-06-01,Rathnapura,432
2010-07-01,Rathnapura,492
2010-08-01,Rathnapura,438
2010-09-01,Rathnapura,246
2010-10-01,Rathnapura,118
2010-11-01,Rathnapura,53
2010-12-01,Rathnapura,46
2010-01-01,Kegalla,90
2010-02-01,Kegalla,136
2010-03-01,Kegalla,76
2010-04-01,Kegalla,49
2010-05-01,Kegalla,53
2010-06-01,Kegalla,117
2010-07-01,Kegalla,161
2010-08-01,Kegalla,104
2010-09-01,Kegalla,64
2010-10-01,Kegalla,25
2010-11-01,Kegalla,22
2010-12-01,Kegalla,21
2010-01-01,Kalminai,215
2010-02-01,Kalminai,174
2010-03-01,Kalminai,71
2010-04-01,Kalminai,57
2010-05-01,Kalminai,13
2010-06-01,Kalminai,8
2010-07-01,Kalminai,5
2010-08-01,Kalminai,9
2010-09-01,Kalminai,6
2010-10-01,Kalminai,10
2010-11-01,Kalminai,23
2010-12-01,Kalminai,15
2011-01-01,Colombo,309
2011-02-01,Colombo,392
2011-03-01,Colombo,340
2011-04-01,Colombo,528
2011-05-01,Colombo,698
2011-06-01,Colombo,1610
2011-07-01,Colombo,2085
2011-08-01,Colombo,824
2011-09-01,Colombo,863
2011-10-01,Colombo,599
2011-11-01,Colombo,536
2011-12-01,Colombo,1339
2011-01-01,Gampaha,134
2011-02-01,Gampaha,119
2011-03-01,Gampaha,141
2011-04-01,Gampaha,183
2011-05-01,Gampaha,218
2011-06-01,Gampaha,537
2011-07-01,Gampaha,911
2011-08-01,Gampaha,428
2011-09-01,Gampaha,367
2011-10-01,Gampaha,321
2011-11-01,Gampaha,347
2011-12-01,Gampaha,668
2011-01-01,Kalutara,48
2011-02-01,Kalutara,52
2011-03-01,Kalutara,57
2011-04-01,Kalutara,133
2011-05-01,Kalutara,148
2011-06-01,Kalutara,185
2011-07-01,Kalutara,188
2011-08-01,Kalutara,107
2011-09-01,Kalutara,93
2011-10-01,Kalutara,100
2011-11-01,Kalutara,111
2011-12-01,Kalutara,194
2011-01-01,Kandy,26
2011-02-01,Kandy,28
